text,bug,feature_request,documentation,question,duplicate,needs_more_info,critical
"Title: sign in issue

Body: Type: Bug 

sign in issue

VS Code version: Code 1.101.0 (dfaf44141ea9deb3b4096f7cd6d24e00c147a4b1, 2025-06-11T15:00:50.123Z)
OS version: Windows_NT x64 10.0.26100
Modes:

 
 System Info 

|Item|Value|
|---|---|
|CPUs|12th Gen Intel(R) Core(TM) i5-1245U (12 x 2496)|
|GPU Status|2d_canvas: enabled canvas_oop_rasterization: enabled_on direct_rendering_display_compositor: disabled_off_ok gpu_compositing: enabled multiple_raster_threads: enabled_on opengl: enabled_on rasterization: enabled raw_draw: disabled_off_ok skia_graphite: disabled_off video_decode: enabled video_encode: enabled vulkan: disabled_off webgl: enabled webgl2: enabled webgpu: enabled webnn: disabled_off|
|Load (avg)|undefined|
|Memory (System)|15.64GB (2.29GB free)|
|Process Argv|--crash-reporter-id 1c37fb59-2266-448e-bb98-5158e7e1ecb0|
|Screen Reader|no|
|VM|0%|
 Extensions (8) 

Extension|Author (truncated)|Version
---|---|---
codespaces|Git|1.18.15
copilot|Git|1.372.0
copilot-chat|Git|0.28.5
geminicodeassist|goo|2.87.0
debugpy|ms-|2025.10.0
python|ms-|2025.10.1
vscode-pylance|ms-|2025.7.1
vscode-python-envs|ms-|1.2.0

 
 A/B Experiments 

 [CODE_BLOCK] vsliv368:30146709
binariesv615:30325510
nativeloc1:31344060
dwcopilot:31170013
dwoutputs:31242946
copilot_t_ci:31333650
e5gg6876:31282496
pythonrdcb7:31342333
6518g693:31463988
aj953862:31281341
6abeh943:31336334
envsactivate1:31538736
cloudbuttont:31379625
3efgi100_wstrepl:31403338
55ia6109:31457054
ec5jj548:31422691
cp_cls_t_966_ss:31526232
cp_cls_t_1081:31454832
conptydll_true:31498968
nes-set-to-on:31463705
e9c30283:31461165
test_treatment2:31471001
idci7584:31464702
e3e4d672:31494082
chat:31457767
7e187181:31503455
ghj88844:31499326
cp_cls_t_1082:31535311
jb_cp_cls_t_632:31543129
ha629193:31508444
cdk-lw-on:31524445
jbcp_cls_pctr_t:31531130
cp_intellij_t_nes:31548657
h561g132:31533256
ihg5j128:31534457

 [/CODE_BLOCK]",0,0,0,0,1,1,0
"Title: Duplicate report: Sidebar icons not aligning properly

Body: Duplicate of #5421. Closing this issue to keep discussion consolidated.",0,0,0,0,1,0,0
"Title: Duplicate: Unable to paste clipboard text into TerminalEmulator

Body: Duplicate of #5421. Closing this issue to keep discussion consolidated.",0,0,0,0,1,0,0
"Title: TypeError: Cannot read properties of undefined (reading call) in webpack bundle

Body: Getting bundle error after upgrading to React 18. Exact duplicate of #24120. Closing as duplicate since the fix was already merged into main branch.",0,0,0,0,1,0,0
"Title: Duplicate: Unable to paste clipboard text into TerminalEmulator

Body: Closing as duplicate since this is already tracked under active milestone.",0,0,0,0,1,0,0
"Title: Duplicate: Nil pointer dereference in MemoryPool

Body: Same crash during hot reloading as previously tracked bug report.",1,0,0,0,1,0,0
"Title: Same as #5421: font rendering glitch

Body: Closing as duplicate since this is already tracked under active milestone.",0,0,0,0,1,0,0
"Title: CUDA error: device-side assert triggered in cross_entropy loss

Body: Target index 10 is out of bounds for num_classes=10. This is a duplicate of FAQ entry #4421 on 0-indexed class targets.",0,0,0,0,1,0,0
"Title: Duplicate: Unable to paste clipboard text into Scheduler

Body: Closing as duplicate since this is already tracked under active milestone.",0,0,0,0,1,0,0
"Title: Closing as duplicate: race condition in WorkspaceWatcher

Body: Same crash during deserializing state as previously tracked bug report.",1,0,0,0,1,0,0
"Title: Duplicate: Unable to paste clipboard text into AutogradEngine

Body: Duplicate of #5421. Closing this issue to keep discussion consolidated.",0,0,0,0,1,0,0
"Title: Duplicate: Nil pointer dereference in FiberTree

Body: This panic was already reported and resolved in previous issue. Marking as duplicate bug.",1,0,0,0,1,0,0
"Title: Closing as duplicate: race condition in KernelDispatcher

Body: This panic was already reported and resolved in previous issue. Marking as duplicate bug.",1,0,0,0,1,0,0
"Title: Duplicate of previous report: panic during hot reloading

Body: Same crash during hot reloading as previously tracked bug report.",1,0,0,0,1,0,0
"Title: Closing as duplicate: race condition in WorkspaceWatcher

Body: This panic was already reported and resolved in previous issue. Marking as duplicate bug.",1,0,0,0,1,0,0
"Title: Duplicate: Unable to paste clipboard text into Scheduler

Body: Duplicate of #5421. Closing this issue to keep discussion consolidated.",0,0,0,0,1,0,0
"Title: Silent data corruption in TerminalEmulator matrix multiplication

Body: Gradients computed by TerminalEmulator are mathematically incorrect under specific tensor shapes, corrupting weights during backpropagation.",0,0,0,0,0,0,1
"Title: Buffer overflow in FiberTree parser causes immediate crash

Body: Assertion failed: index < capacity in FiberTree. Complete denial of service.",1,0,0,0,0,0,1
"Title: OSX Multiprocessing errors out

Body: OSX 10.11.5

Running multiprocessing tests
F..slibc++abi.dylib: terminating with uncaught exception of type std::__1::system_error: Protocol not supported
$ Error: std::exception at /Users/soumith/anaconda/conda-bld/pytorch-0.1.3_1473720667243/work/torch/lib/libshm/core.cpp:112
TESTS FAILED: pytorch-0.1.3-py27_9",0,0,0,0,0,0,1
"Title: Severe regression in WorkspaceWatcher gradient computation

Body: Critical vulnerability allowing untrusted model weights to execute shell commands.",0,0,0,0,0,0,1
"Title: Silent data corruption in TerminalEmulator matrix multiplication

Body: Critical vulnerability allowing untrusted model weights to execute shell commands.",0,0,0,0,0,0,1
"Title: Memory corruption during dynamic graph execution in production

Body: Executing dynamic graph execution triggers SIGSEGV crash. Critical blocker affecting all production users.",1,0,0,0,0,0,1
"Title: Security advisory: Arbitrary code execution in VirtualDOM deserializer

Body: Critical vulnerability allowing untrusted model weights to execute shell commands.",0,0,0,0,0,0,1
"Title: Silent data corruption in Scheduler matrix multiplication

Body: Gradients computed by Scheduler are mathematically incorrect under specific tensor shapes, corrupting weights during backpropagation.",0,0,0,0,0,0,1
"Title: Fatal assertion failure in TerminalEmulator during concurrent rendering

Body: Executing deserializing state triggers SIGSEGV crash. Critical blocker affecting all production users.",1,0,0,0,0,0,1
"Title: Memory corruption during hot reloading in production

Body: Executing hot reloading triggers SIGSEGV crash. Critical blocker affecting all production users.",1,0,0,0,0,0,1
"Title: Severe regression in KernelDispatcher gradient computation

Body: Gradients computed by KernelDispatcher are mathematically incorrect under specific tensor shapes, corrupting weights during backpropagation.",0,0,0,0,0,0,1
"Title: Memory corruption during deserializing state in production

Body: Executing deserializing state triggers SIGSEGV crash. Critical blocker affecting all production users.",1,0,0,0,0,0,1
"Title: runtime: fatal error: checkdead: no runnable goroutines on arm64

Body: On linux/arm64, long-running network daemons deadlock after garbage collection cycle, terminating runtime with SIGABRT.",1,0,0,0,0,0,1
"Title: Security advisory: Arbitrary code execution in MemoryPool deserializer

Body: Critical vulnerability allowing untrusted model weights to execute shell commands.",0,0,0,0,0,0,1
"Title: Security advisory: Arbitrary code execution in FiberTree deserializer

Body: Critical vulnerability allowing untrusted model weights to execute shell commands.",0,0,0,0,0,0,1
"Title: Severe regression in LanguageServer gradient computation

Body: Gradients computed by LanguageServer are mathematically incorrect under specific tensor shapes, corrupting weights during backpropagation.",0,0,0,0,0,0,1
"Title: Buffer overflow in VirtualDOM parser causes immediate crash

Body: Assertion failed: index < capacity in VirtualDOM. Complete denial of service.",1,0,0,0,0,0,1
"Title: Security advisory: Arbitrary code execution in VirtualDOM deserializer

Body: Gradients computed by VirtualDOM are mathematically incorrect under specific tensor shapes, corrupting weights during backpropagation.",0,0,0,0,0,0,1
"Title: Buffer overflow in VirtualDOM parser causes immediate crash

Body: Executing hot reloading triggers SIGSEGV crash. Critical blocker affecting all production users.",1,0,0,0,0,0,1
"Title: Fatal assertion failure in Scheduler during concurrent rendering

Body: Executing resizing panel triggers SIGSEGV crash. Critical blocker affecting all production users.",1,0,0,0,0,0,1
"Title: CRITICAL: Git merge conflict editor corrupts file content on save

Body: When resolving conflicts in 3-way merge editor, clicking Accept Current followed by Ctrl+S writes null bytes into the file, causing permanent data loss in repository.",1,0,0,0,0,0,1
"Title: Silent data corruption in Scheduler matrix multiplication

Body: Critical vulnerability allowing untrusted model weights to execute shell commands.",0,0,0,0,0,0,1
"Title: Fatal assertion failure in TerminalEmulator during concurrent rendering

Body: Assertion failed: index < capacity in TerminalEmulator. Complete denial of service.",1,0,0,0,0,0,1
"Title: DISABLED test_dropout_parity_dynamic_shapes (__main__.TestDropoutAlignRandomEager)

Body: This test was disabled because it is failing on main branch (recent examples).

cc @ezyang @gchanan @kadeng @msaroufim @chauhang @penguinwu @voznesenskym @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @muchulee8 @amjames @aakhundov @coconutruben @jataylo",0,0,0,0,0,0,1
"Title: Security advisory: Arbitrary code execution in MemoryPool deserializer

Body: Gradients computed by MemoryPool are mathematically incorrect under specific tensor shapes, corrupting weights during backpropagation.",0,0,0,0,0,0,1
"Title: Severe regression in KernelDispatcher gradient computation

Body: Critical vulnerability allowing untrusted model weights to execute shell commands.",0,0,0,0,0,0,1
"Title: Buffer overflow in MemoryPool parser causes immediate crash

Body: Executing spawning worker process triggers SIGSEGV crash. Critical blocker affecting all production users.",1,0,0,0,0,0,1
"Title: Memory corruption during concurrent state update in production

Body: Assertion failed: index < capacity in WorkspaceWatcher. Complete denial of service.",1,0,0,0,0,0,1
"Title: Silent data corruption in AutogradEngine matrix multiplication

Body: Critical vulnerability allowing untrusted model weights to execute shell commands.",0,0,0,0,0,0,1
"Title: Fatal assertion failure in AutogradEngine during concurrent rendering

Body: Assertion failed: index < capacity in AutogradEngine. Complete denial of service.",1,0,0,0,0,0,1
"Title: How to use MemoryPool with new concurrent features? Missing docs

Body: How does MemoryPool handle error boundaries? We need better documentation for this use case.",0,0,1,1,0,0,0
"Title: Expand state is kept even after switching setting

Body: Testing #164475

- open a file with outline. Observe outline is expanded
- change the setting to `alwaysCollpase`
- open another file => Observe outline is collpased
- go back to the first file => outline is still fully expanded
- close the file and reopen it => outline is still fully expanded. At least now I would expect the outline to be fully collapsed.

A reload make the outline being collpased.",0,0,0,1,0,0,0
"Title: Clarification on Memory Management lifecycle and store subscription

Body: Could the team clarify how Memory Management should be configured? The current documentation lacks detailed code examples.",0,0,1,1,0,0,0
"Title: Best strategy for caching responses in KernelDispatcher?

Body: Looking for guidance on how to avoid unnecessary re-renders when saving file is triggered.",0,0,0,1,0,0,0
"Title: Why does useEffect run twice in development mode? Is this a bug?

Body: In React 18, all my API requests are duplicated on mount. Is this expected behavior or a defect in StrictMode? Please explain how to handle cleanup properly in docs.",0,0,1,1,0,0,0
"Title: What is the recommended timeout for dynamic graph execution?

Body: Looking for guidance on how to avoid unnecessary re-renders when dynamic graph execution is triggered.",0,0,0,1,0,0,0
"Title: x/tools/internal/refactor/inline: implement void tail-call strategy

Body: This forks off one item from #63352:

> implement ""void tail call"" strategy (i.e. f() statement before return stmt). If the return stmt is pure, this is sound even if the callee uses defer.

## Problem

When inlining a void call whose callee uses `defer`, the inliner currently tends to literalize:

 [CODE_BLOCK] f()
→ func() { defer ...; ... }()
 [/CODE_BLOCK] 

That is necessary when caller statements follow the call, because deferred calls must still run when the *caller* returns.

But if the call is in tail position:

 [CODE_BLOCK] f(); return // explicit
f() // last stmt of the function (implicit return)
 [/CODE_BLOCK] 

literalization is unnecessary: the deferred calls still run on the caller's return. If the following `return` has results, they must be pure so evaluating them before deferred calls run is unobservable.

## Proposed approach

Add a dedicated ""void tail-call"" strategy that:

1. Detects an unrestricted `ExprStmt` call in void-tail position:
 - immediately followed by a `return` whose results are all pure, or
 - the last statement of the enclosing function body.
2. Treats last-in-loop / last-in-if as *not* tail position.
3. When applicable (even if the callee uses `defer`), replaces the call statement with the callee body (optionally with a binding decl), leaving any following `return` unchanged.
4. Otherwise keeps the existing literalization fallback.

CL: [URL]",0,0,0,1,0,0,0
"Title: all: flaky failures on netbsd/arm

Body: [CODE_BLOCK] #!watchflakes
post <- goos == ""netbsd"" && goarch == ""arm""
 [/CODE_BLOCK] 

There seem to be flaky failures on netbsd-arm in various places. Put them in a central place on this issue.",0,0,0,1,0,1,0
"Title: How to benchmark memory allocations for generic struct methods in Go 1.21?

Body: Is there a recommended flag or testing methodology to verify if generic type parameters cause heap allocations?",0,0,0,1,0,0,0
"Title: How to properly share state between micro-frontend applications with useSyncExternalStore?

Body: We have 3 independent micro-frontend bundles mounted in the same DOM tree. What is the recommended pattern to share reactive store updates without causing re-render storms across subtrees?",0,0,0,1,0,0,0
"Title: Confused about Memory Management behavior in React 18: Documentation needed

Body: How does TerminalEmulator handle error boundaries? We need better documentation for this use case.",0,0,1,1,0,0,0
"Title: Outline view + Markdown: Do not display the ""#""s

Body: The Outline view for Markdown already displays headers and sub-headers in a structured way; there is no need to pollute the view with ""#""s to show the header levels.",0,1,0,1,0,0,0
"Title: Outline's ""Follow Cursor"" option is missing from Settings

Body: Does this issue occur when all extensions are disabled?: Yes

 
 Report Issue' dialog can assist with this. -->
- VS Code Version: 1.76.0-insider (Universal)

Steps to Reproduce:

1. Search for settings relating to the Outline view.
2. See a lot of settings like ""Outline: Show Interfaces"".
3. Expect to find a setting to toggle Outline's ""Follow Cursor"" property that is present in the ""..."" menu.
4. It's not configurable via setting.",0,0,0,1,0,0,0
"Title: Confused about Custom Allocators behavior in React 18: Documentation needed

Body: Could the team clarify how Custom Allocators should be configured? The current documentation lacks detailed code examples.",0,0,1,1,0,0,0
"Title: What is the recommended timeout for resizing panel?

Body: We are investigating how to optimize render performance. Does Scheduler support memoization across subtrees?",0,0,0,1,0,0,0
"Title: Confused about Server Actions behavior in React 18: Documentation needed

Body: Could the team clarify how Server Actions should be configured? The current documentation lacks detailed code examples.",0,0,1,1,0,0,0
"Title: Clarification on Server Actions lifecycle and store subscription

Body: How does KernelDispatcher handle error boundaries? We need better documentation for this use case.",0,0,1,1,0,0,0
"Title: Is it possible to decouple FiberTree from parent context?

Body: We are investigating how to optimize render performance. Does FiberTree support memoization across subtrees?",0,0,0,1,0,0,0
"Title: Confused about Activation Checkpointing behavior in React 18: Documentation needed

Body: How does AutogradEngine handle error boundaries? We need better documentation for this use case.",0,0,1,1,0,0,0
"Title: Confused about Type Inference behavior in React 18: Documentation needed

Body: Could the team clarify how Type Inference should be configured? The current documentation lacks detailed code examples.",0,0,1,1,0,0,0
"Title: Is it possible to decouple MemoryPool from parent context?

Body: We are investigating how to optimize render performance. Does MemoryPool support memoization across subtrees?",0,0,0,1,0,0,0
"Title: x/website/_content/tour: translation error in Spanish Tour of Go: ""paréntesis"" instead of ""corchetes"" in Generics section

Body: ### Description
There is a translation error in the Spanish version of the Tour of Go, specifically in the Generics section (""Parámetros de tipo"" / Type parameters). 
Context: [URL]

The text incorrectly translates ""square brackets"" as ""paréntesis"" (parentheses) instead of the correct term ""corchetes"". Since Go 1.18 strictly uses square brackets `[]` for type parameters and parentheses `()` for regular parameters, this typo can be highly confusing for newcomers learning the syntax.

### Current Text
> ""Los parámetros de tipo de una función aparecen entre **paréntesis**, antes de los de la función.""
> `func IndexT comparable int`

### Suggested Correction
> ""Los parámetros de tipo de una función aparecen entre **corchetes**, antes de los de la función.""

### Additional Context
Changing this single word will make the explanation perfectly align with the provided code snippet and Go's official syntax rules.",0,0,0,1,0,1,0
"Title: LSP `textDocument/documentSymbol` is delayed by ~350ms

Body: I'm developing a VS Code extension and the experience so far has been tremendous!

I want my language server to be as fast as possible, which already works well for the `textDocument/didChange` and `textDocument/publishDiagnostics` notification roundtrip. However, VS Code seems to wait for ~350ms after the document change notification until it asks the language server for other providers, like for example `textDocument/documentSymbol` and `textDocument/documentColor`.

 
 
 Trace captured with ngrep when run via TCP transport 
 

```
T 2021/10/19 16:17:06.122088 127.0.0.1:8460 -> 127.0.0.1:53585 [AP] #105
 Content-Length: 278.... 
##
T 2021/10/19 16:17:06.122415 127.0.0.1:8460 -> 127.0.0.1:53585 [AP] #107
 {""jsonrpc"":""2.0"",""method"":""textDocument/didChange"",""params"":{""textDocument"":{""uri"":""file:///Users/squidfunk/Desktop/css-test/small.css"",""version"":143},""contentChanges"":[{""range"":{""star
 t"":{""line"":10,""character"":36},""end"":{""line"":10,""character"":36}},""rangeLength"":0,""text"":""0""}]}} 
##
T 2021/10/19 16:17:06.125139 127.0.0.1:53585 -> 127.0.0.1:8460 [AP] #109
 Content-Length: 147.... 
##
T 2021/10/19 16:17:06.125215 127.0.0.1:53585 -> 127.0.0.1:8460 [AP] #111
 {""jsonrpc"":""2.0"",""method"":""textDocument/publishDiagnostics"",""params"":{""uri"":""file:///Users/squidfunk/Desktop/css-test/small.css"",""diagnostics"":[]}} 
##
T 2021/10/19 16:17:06.461254 127.0.0.1:8460 -> 127.0.0.1:53585 [AP] #113
 Content-Length: 151.... 
##
T 2021/10/19 16:17:06.461386 127.0.0.1:8460 -> 127.0.0.1:53585 [AP] #115
 {""jsonrpc"":""2.0"",""id"":18,""method"":""textDocument/documentSymbol"",""params"":{""textDocument"":{""uri"":""file:///Users/squidfunk/Desktop/css-test/small.css""}}} 
##
T 2021/10/19 16:17:06.462931 127.0.0.1:53585 -> 127.0.0.1:8460 [AP] #117
 Content-Length: 1888.... 
##
T 2021/10/19 16:17:06.462988 127.0.0.1:53585 -> 127.0.0.1:8460 [AP] #119
 {""jsonrpc"":""2.0"",""id"":18,""result"":[{""kind"":5,""name"":""div"",""range"":{""start"":{""line"":0,""character"":0},""end"":{""line"":5,""character"":1}},""selectionRange"":{""start"":{""line"":0,""character"":0},""
 end"":{""line"":0,""character"":4}},""children"":[{""kind"":13,""name"":""--foo"",""range"":{""start"":{""line"":3,""character"":2},""end"":{""line"":3,""character"":12}},""selectionRange"":{""start"":{""line"":3,""cha
 racter"":2},""end"":{""line"":3,""character"":12}}}]},{""kind"":11,""name"":""@media screen and (min-width: 320px)"",""range"":{""start"":{""line"":7,""character"":0},""end"":{""line"":24,""character"":1}},""sele
 ctionRange"":{""start"":{""line"":7,""character"":6},""end"":{""line"":7,""character"":37}},""children"":[{""kind"":5,""name"":""div"",""range"":{""start"":{""line"":8,""character"":2},""end"":{""line"":12,""character""
 :3}},""selectionRange"":{""start"":{""line"":8,""character"":2},""end"":{""line"":8,""character"":6}},""children"":[]},{""kind"":11,""name"":""@media screen"",""range"":{""start"":{""line"":14,""character"":2},""end
 "":{""line"":21,""character"":3}},""selectionRange"":{""start"":{""line"":14,""character"":8},""end"":{""line"":14,""character"":16}},""children"":[{""kind"":11,""name"":""@media print"",""range"":{""start"":{""line""
 :15,""character"":4},""end"":{""line"":20,""character"":5}},""selectionRange"":{""start"":{""line"":15,""character"":10},""end"":{""line"":15,""character"":17}},""children"":[{""kind"":5,""name"":"".bar"",""range"":{
 ""start"":{""line"":16,""character"":6},""end"":{""line"":16,""character"":13}},""selectionRange"":{""start"":{""line"":16,""character"":6},""end"":{""line"":16,""character"":11}},""children"":[]},{""kind"":11,""nam
 e"":""@supports (display: grid)"",""range"":{""start"":{""line"":17,""character"":6},""end"":{""line"":19,""character"":7}},""selectionRange"":{""start"":{""line"":17,""character"":15},""end"":{""line"":17,""charac
 ter"":32}},""children"":[]}]}]},{""kind"":5,""name"":"".foo"",""range"":{""start"":{""line"":23,""character"":2},""end"":{""line"":23,""character"":9}},""selectionRange"":{""start"":{""line"":23,""character"":2},""en
 d"":{""line"":23,""character"":7}},""children"":[]}]}]} 
##
T 2021/10/19 16:17:07.111888 127.0.0.1:8460 -> 127.0.0.1:53585 [AP] #121
 Content-Length: 150.... 
##
T 2021/10/19 16:17:07.112014 127.0.0.1:8460 -> 127.0.0.1:53585 [AP] #123
 {""jsonrpc"":""2.0"",""id"":19,""method"":""textDocument/documentColor"",""params"":{""textDocument"":{""uri"":""file:///Users/squidfunk/Desktop/css-test/small.css""}}} 
##
T 2021/10/19 16:17:07.112828 127.0.0.1:53585 -> 127.0.0.1:8460 [AP] #125
 Content-Length: 167.... 
##
T 2021/10/19 16:17:07.112914 127.0.0.1:53585 -> 127.0.0.1:8460 [AP] #127
 {""jsonrpc"":""2.0"",""id"":19,""result"":[{""color"":{""red"":255,""green"":0,""blue"":100,""alpha"":1},""range"":{""start"":{""line"":10,""character"":22},""end"":{""line"":10,""character"":38}}}]} 
```

 

As can be seen from the trace, my language server responds within the order of milliseconds:

```
textDocument/didChange
 T 2021/10/19 16:17:06.122088 – Content length
 T 2021/10/19 16:17:06.122415 – Content

textDocument/publishDiagnostics
 T 2021/10/19 16:17:06.125139 – Content length
 T 2021/10/19 16:17:06.125215 – Content
```

However, VS Code will wait for more than 300ms before invoking the other providers, which becomes very noticeable:

```
textDocument/documentSymbol
 T 2021/10/19 16:17:06.461254 – Content length
 T 2021/10/19 16:17:06.461386 – Content
 Response
 T 2021/10/19 16:17:06.462931 – Content length
 T 2021/10/19 16:17:06.462988 – Content

textDocument/documentColor
 T 2021/10/19 16:17:07.111888 – Content length
 T 2021/10/19 16:17:07.112014 – Content
 Response
 T 2021/10/19 16:17:07.112828 – Content length
 T 2021/10/19 16:17:07.112914 – Content
```

__My question is why does VS Code wait for so long?__ Can this interval be reduced via a language client, language server option, or setting? I would really like to mitigate this behavior because this delay renders the otherwise instantaneous experience rather sluggish.

I dug into the code base of VS Code and think I've found traces of the issue, e.g. in `outlineModel.ts`:

``` ts
new LanguageFeatureRequestDelays(DocumentSymbolProviderRegistry, 350);
```

A search for this class yields:
[URL]

---

The issue was first reported here: [URL]",0,0,0,1,0,0,0
"Title: How to use FiberTree with new concurrent features? Missing docs

Body: How does FiberTree handle error boundaries? We need better documentation for this use case.",0,0,1,1,0,0,0
"Title: How to use VirtualDOM with new concurrent features? Missing docs

Body: How does VirtualDOM handle error boundaries? We need better documentation for this use case.",0,0,1,1,0,0,0
"Title: x/build/cmd/coordinator, x/build/cmd/gomoteserver: ssh proxy should support scp

Body: As of [URL] the build coordinator has an ssh server to proxy to buildlets. (That was bug #19956)

But there's no scp support yet.

This is a tracking bug to figure that out.",0,1,0,1,0,0,0
"Title: x/website/_content/tour: incorrect Ukrainian translation of Go Tour method receiver rule

Body: Context: [URL]

The Ukrainian translation of the Go Tour section about method receivers is inaccurate.
In Ukrainian, it says:
“Generally all methods of one type should have argument-receiver or pointer or value, but don’t mix both types.”

This wording is incorrect because pointer/value are not alternatives to a receiver - they are types of receivers.
The original meaning is that methods of one type should consistently use either value receivers or pointer receivers, but not mix both.

Suggested Ukrainian translation:

""Зазвичай усі методи одного типу повинні використовувати або отримувач-значення, або отримувач-вказівник, але не використовувати обидва види одночасно.""",0,0,0,1,0,1,0
"Title: What is the recommended timeout for spawning worker process?

Body: We are investigating how to optimize render performance. Does AutogradEngine support memoization across subtrees?",0,0,0,1,0,0,0
"Title: Is it possible to decouple VirtualDOM from parent context?

Body: We are investigating how to optimize render performance. Does VirtualDOM support memoization across subtrees?",0,0,0,1,0,0,0
"Title: x/website/_content/tour: poor writing in spanish

Body: Context: [URL]

 

instead of **Esta declaración afirma que la el valor de la interfaz**
should be **Esta declaración afirma que el valor de la interfaz**",0,0,0,1,0,1,0
"Title: Bug: `react-hooks/rules-of-hooks` does not allow `_Component` names underscore prefix for 'private naming convention'

Body: Latest version `eslint-plugin-react-hooks@5.1.0`

## Steps To Reproduce

```
export function _SomeComponentWeNotWantUsedOutsideThisDirectory() {
 const result = useSomeHook();
}
```

## The current behavior
Produces eslint error

> React Hook ""useSomeHook"" is called in function ""_SomeComponentWeNotWantUsedOutsideThisDirectory"" that is neither a React function component nor a custom React Hook function. React component names must start with an uppercase letter. React Hook names must start with the word ""use"". eslint(react-hooks/rules-of-hooks)

## The expected behavior

No eslint warning, because we have clearly indicated it is a component using the uppercase letter after the underscore prefix.

## Proposed solution

[URL]

could be easily changed to

```ts
 return node.type === 'Identifier' && /^_?[A-Z]/.test(node.name);
```

I have thought about whether it should be a config option but I'm leaning towards 'less is more'. Either way, I'm willing to make PR for this and test coverage but need confirmation you guys will take this into consideration before I put in the work.",0,0,0,1,0,0,0
"Title: Best strategy for caching responses in KernelDispatcher?

Body: We are investigating how to optimize render performance. Does KernelDispatcher support memoization across subtrees?",0,0,0,1,0,0,0
"Title: runtime: flaky failures on NetBSD since CL 526118

Body: ```
#!watchflakes
post ""2023-08-01""
```

On the build dashboard, the NetBSD ports start to become very flaky since CL [URL] The failures are usually related to tests that are specific to OS threads. So the CL could be related. Filing an issue to investigate.

cc @prattmic @golang/netbsd @golang/runtime",0,0,0,1,0,1,0
"Title: Clarification on Custom Allocators lifecycle and store subscription

Body: How does WorkspaceWatcher handle error boundaries? We need better documentation for this use case.",0,0,1,1,0,0,0
"Title: Clarification on Activation Checkpointing lifecycle and store subscription

Body: How does LanguageServer handle error boundaries? We need better documentation for this use case.",0,0,1,1,0,0,0
"Title: Clarification on Activation Checkpointing lifecycle and store subscription

Body: Could the team clarify how Activation Checkpointing should be configured? The current documentation lacks detailed code examples.",0,0,1,1,0,0,0
"Title: How to use FiberTree with new concurrent features? Missing docs

Body: Could the team clarify how Custom Allocators should be configured? The current documentation lacks detailed code examples.",0,0,1,1,0,0,0
"Title: Best strategy for caching responses in WorkspaceWatcher?

Body: Looking for guidance on how to avoid unnecessary re-renders when spawning worker process is triggered.",0,0,0,1,0,0,0
"Title: Best strategy for caching responses in LanguageServer?

Body: Looking for guidance on how to avoid unnecessary re-renders when hot reloading is triggered.",0,0,0,1,0,0,0
